id_something,contacts,channel_a,channel_b,channel_c,channel_d,sales
100,0.25,0.18064516129032257,0.4502138057422114,0.24813559322033898,0.07507507507507506,0.2826530612244898
101,0.21666666666666667,0.1870967741935484,0.46059865607819184,0.2033898305084746,0.05405405405405406,0.2693877551020408
102,1.0,1.0,0.0,1.0,0.0,1.0
103,0.08888888888888889,0.07741935483870968,0.1588271227855834,0.0928813559322034,0.021021021021021023,0.0816326530612245
104,0.08333333333333333,0.09032258064516129,0.3231521075137447,0.09084745762711864,0.006006006006006006,0.41530612244897963
105,0.34722222222222227,0.25161290322580643,0.26511912034208923,0.3267796610169492,0.04804804804804805,0.37244897959183676
106,0.3388888888888889,0.3741935483870968,0.5699450213805742,0.304406779661017,0.03003003003003003,0.5010204081632653
107,0.3277777777777778,0.36129032258064514,0.7446548564447161,0.3098305084745763,0.06306306306306306,0.376530612244898
108,0.15000000000000002,0.17419354838709677,0.097128894318876,0.15661016949152542,0.03003003003003003,0.2448979591836735
109,0.07777777777777778,0.05806451612903226,0.09224190592547342,0.06440677966101695,0.003003003003003003,0.17857142857142858
110,0.15000000000000002,0.11612903225806452,0.2626756261453879,0.14779661016949153,0.015015015015015013,0.16632653061224492
111,0.019444444444444445,0.012903225806451613,0.015271838729383019,0.02169491525423729,0.0,0.017346938775510204
112,0.20833333333333334,0.14838709677419354,0.2272449602932193,0.21152542372881356,0.006006006006006006,0.19081632653061226
113,0.18333333333333335,0.17419354838709677,0.050702504581551615,0.18305084745762712,0.40240240240240244,0.17244897959183675
114,0.08611111111111111,0.0967741935483871,0.04886988393402565,0.07796610169491525,0.23423423423423423,0.11122448979591838
115,0.26666666666666666,0.36774193548387096,0.3750763591936469,0.2786440677966102,0.015015015015015013,0.5510204081632654
116,0.2833333333333334,0.2967741935483871,0.36774587660354313,0.2508474576271187,0.009009009009009009,0.4714285714285715
117,0.3027777777777778,0.3032258064516129,0.2669517409896152,0.2861016949152543,0.07507507507507506,0.3612244897959184
118,0.11944444444444445,0.0967741935483871,0.2864996945632254,0.10983050847457627,0.003003003003003003,0.0989795918367347
119,0.17222222222222225,0.15483870967741936,0.41967012828344535,0.18237288135593221,0.015015015015015013,0.15510204081632656
120,0.20833333333333334,0.2129032258064516,0.3402565668906537,0.18847457627118644,0.04204204204204204,0.3122448979591837
121,0.17222222222222225,0.17419354838709677,0.306658521686011,0.17084745762711864,0.02102102102102102,0.27142857142857146
122,0.11666666666666667,0.12903225806451613,0.0946854001221747,0.10779661016949153,0.006006006006006006,0.23673469387755103
123,0.26666666666666666,0.2709677419354839,0.15332926084300552,0.28474576271186447,0.0990990990990991,0.24285714285714288
